,channel_id,channel_name,channel_description,is_family_friendly,is_paid_membership,channel_keywords,channel_num_subscribers,CreatedDate,CreatedDatetime
0,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,"Official YouTube channel for The Weeknd.
dawn FM - theweeknd.co/dawnfm",True,False,The Weeknd TheWeekndXO OFFICIAL TheWeeknd XO,28300000,2022-06-01,2022-06-01 21:29:22
0,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,"Welcome to the OFFICIAL home of Britains Got Talent on YouTube.

Watch your favourite highlights from the current or previous series of Britains Got Talent, and make sure you subscribe so you dont miss a thing.",True,False,"""britain's got talent 2017"" ""britains got talent"" britains got talent 2016 britain's britians ""simon cowell"" simon cowell ""alesha dixon"" alesha dixon ""david ...",18300000,2022-06-01,2022-06-01 21:29:27
