,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
42,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,9282665,478875,2022-04-28,2022-04-28 16:33:17
43,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,34749204,1640694,2022-04-28,2022-04-28 16:33:20
44,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,18851830,857672,2022-04-28,2022-04-28 16:33:25
45,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1350575,42453,2022-04-28,2022-04-28 16:33:28
46,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,3646176,78158,2022-04-28,2022-04-28 16:33:33
47,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1454461,17270,2022-04-28,2022-04-28 16:33:36
48,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,88720177,3527297,2022-04-28,2022-04-28 16:33:39
49,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,133109612,1112132,2022-04-28,2022-04-28 16:33:42
50,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,56961237,1066067,2022-04-28,2022-04-28 16:33:46
51,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,216780,6812,2022-04-28,2022-04-28 16:33:48
52,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2338397,85160,2022-04-28,2022-04-28 16:33:51
53,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,274289,8365,2022-04-28,2022-04-28 16:33:57
54,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6087,213,2022-04-28,2022-04-28 16:34:00
55,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,14445,171,2022-04-28,2022-04-28 16:34:03
56,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,151105,1827,2022-04-28,2022-04-28 16:34:06
57,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,311353,4889,2022-04-28,2022-04-28 16:34:09
58,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1146811,42089,2022-04-28,2022-04-28 16:34:14
59,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,78161,2360,2022-04-28,2022-04-28 16:34:20
60,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1815616046,10942837,2022-04-29,2022-04-29 18:09:58
61,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,17797289,490775,2022-04-29,2022-04-29 18:10:03
